PC;VMY.PM;SLI;SLP;P.Max;VO_N;G.Max
1.3735000;1.3785000;1.8843377;2.5000000;-1.9000000;0.0046633;10.8000000
1.3735000;1.3785000;2.5571291;2.7000000;-1.3000000;0.0020979;3.7000000
1.3760000;1.3779000;2.7156038;2.8000000;-1.3000000;0.0014174;2.6000000
1.3766000;1.3797000;2.5496213;2.7000000;-0.8000000;0.0016717;3.7000000
1.3782000;1.3788000;3.0313121;3.1000000;-0.9000000;0.0003996;0.2000000
1.3786000;1.3793000;2.8430312;2.9000000;-0.2000000;0.0005078;1.2000000
1.3782000;1.3788000;3.0332018;3.1000000;-2.5000000;0.0009883;0.1000000
1.3782000;1.3795000;2.9684795;3.0000000;-3.0000000;0.0013626;0.7000000
1.3782000;1.3792000;2.9726152;3.0000000;-2.7000000;0.0012686;0.7000000
1.3816000;1.3822000;2.7539340;2.8000000;-4.3000000;0.0026052;2.2000000
1.3790000;1.3812000;2.4557101;2.7000000;-1.2000000;0.0022026;4.8000000
1.3804000;1.3817000;2.9612628;3.0000000;-1.3000000;0.0008011;0.9000000
1.3779000;1.3830000;2.7225429;2.8000000;-2.7000000;0.0021330;2.4000000
1.3828000;1.3842000;2.6967190;2.8000000;-1.0000000;0.0015474;3.2000000
1.3809000;1.3835000;2.7193037;2.8000000;-1.5000000;0.0015016;2.6000000
1.3822000;1.3851000;2.7206158;2.8000000;-1.9000000;0.0017149;2.8000000
1.3714000;1.3815000;1.8929049;2.5000000;-1.0000000;0.0046882;11.0000000
1.3633000;1.3734000;1.9098464;2.5000000;-1.4000000;0.0048508;11.1000000
1.3721000;1.3726000;2.0026461;2.5000000;-0.3000000;0.0036551;8.6000000
1.3664000;1.3722000;2.4754292;2.7000000;-2.6000000;0.0031745;5.9000000
1.3677000;1.3709000;2.4102707;2.7000000;-0.9000000;0.0021590;5.0000000
1.3695000;1.3712000;2.4607888;2.7000000;-0.5000000;0.0018975;4.6000000
1.3810000;1.3839000;2.0118587;2.5000000;-1.2000000;0.0056166;13.4000000
1.3799000;1.3815000;2.8226516;2.9000000;-0.6000000;0.0008541;1.7000000
1.3752000;1.3804000;2.4930129;2.7000000;-0.7000000;0.0026104;6.2000000
1.3793000;1.3825000;2.5594143;2.7000000;-0.5000000;0.0029599;7.6000000
1.3659000;1.3798000;2.0347359;2.5000000;-1.5000000;0.0060682;13.4000000
1.3688000;1.3705000;2.7217192;2.8000000;-3.4000000;0.0023432;2.8000000
1.3421000;1.3700000;1.0000000;2.5000000;-1.0000000;0.0133893;33.0000000
1.3474000;1.3545000;1.9577806;2.5000000;-1.8000000;0.0050104;11.7000000
1.3493000;1.3507000;2.8367496;2.9000000;-0.8000000;0.0007604;1.2000000
1.3465000;1.3494000;2.6907625;2.8000000;-1.2000000;0.0016602;3.2000000
1.3561000;1.3587000;2.0034539;2.5000000;-1.5000000;0.0043331;9.7000000
1.3665000;1.3684000;1.9145651;2.5000000;-0.7000000;0.0046934;11.2000000
1.3640000;1.3670000;2.4005813;2.7000000;-0.3000000;0.0019130;4.9000000
1.3587000;1.3655000;1.9586841;2.5000000;-0.9000000;0.0035360;8.4000000
1.3651000;1.3680000;1.9960374;2.5000000;-1.3000000;0.0036939;8.5000000
1.3633000;1.3650000;2.4450003;2.7000000;-0.6000000;0.0021892;5.2000000
1.3636000;1.3640000;2.9530883;3.0000000;-1.1000000;0.0008181;1.0000000
1.3637000;1.3719000;2.4676891;2.7000000;-4.0000000;0.0036186;4.9000000
1.3614000;1.3654000;2.8327424;2.9000000;-3.1000000;0.0018602;1.6000000
1.3595000;1.3616000;2.4809072;2.7000000;-0.4000000;0.0024828;6.2000000
1.3646000;1.3650000;2.6455085;2.7000000;-4.7000000;0.0033548;3.4000000
1.3691000;1.3691000;3.0100381;3.1000000;-5.1000000;0.0024087;0.6000000
1.3786000;1.3815000;1.9894442;2.5000000;-1.0000000;0.0051295;12.4000000
1.3830000;1.3847000;2.4696073;2.7000000;-0.7000000;0.0026030;6.2000000
1.3890000;1.3913000;2.4660666;2.7000000;-1.0000000;0.0025318;5.9000000
1.3884000;1.3927000;2.7158581;2.8000000;-1.9000000;0.0017853;2.4000000
1.3847000;1.3896000;3.0375142;3.1000000;-5.0000000;0.0021278;0.3000000
1.3872000;1.3888000;2.7545750;2.8000000;-1.7000000;0.0013005;1.9000000
1.4058000;1.4119000;1.6366418;2.5000000;-1.0000000;0.0057147;14.9000000
1.4106000;1.4129000;2.3924677;2.7000000;-0.9000000;0.0020715;4.9000000
1.4079000;1.4108000;2.6377274;2.7000000;-0.7000000;0.0014962;3.4000000
1.4141000;1.4161000;2.5875792;2.7000000;-0.8000000;0.0031883;7.8000000
1.4265000;1.4281000;2.0727226;2.5000000;-2.3000000;0.0058811;12.9000000
1.4157000;1.4229000;1.9831637;2.5000000;-0.6000000;0.0033838;8.5000000
1.4108000;1.4162000;2.5046785;2.7000000;-1.6000000;0.0028587;6.3000000
1.4136000;1.4149000;2.5660977;2.7000000;-3.9000000;0.0031244;4.3000000
1.4148000;1.4156000;2.0517757;2.5000000;-3.0000000;0.0049656;9.5000000
1.4044000;1.4137000;2.0128983;2.5000000;-1.7000000;0.0045552;10.6000000
1.4144000;1.4170000;1.9380157;2.5000000;-1.0000000;0.0046362;11.4000000
1.4176000;1.4214000;2.5284210;2.7000000;-0.3000000;0.0024032;6.5000000
1.4212000;1.4242000;2.4602860;2.7000000;-1.4000000;0.0025832;5.9000000
1.4167000;1.4225000;2.7986358;2.8000000;-5.0000000;0.0025869;1.8000000
1.4187000;1.4229000;2.5423194;2.7000000;-1.1000000;0.0019163;4.0000000
1.4280000;1.4309000;2.0313947;2.5000000;-1.2000000;0.0041582;10.2000000
1.4272000;1.4318000;2.8544697;2.9000000;-3.9000000;0.0020391;1.5000000
1.4266000;1.4282000;2.8334058;2.9000000;-2.2000000;0.0013377;1.6000000
1.4311000;1.4348000;2.5176714;2.7000000;-1.0000000;0.0025854;6.4000000
1.4168000;1.4313000;1.7319785;2.5000000;-1.2000000;0.0069251;17.6000000
1.4250000;1.4278000;1.9933024;2.5000000;-1.2000000;0.0039412;9.6000000
1.4235000;1.4244000;2.5619234;2.7000000;-1.5000000;0.0021558;4.2000000
1.4408000;1.4436000;1.7982573;2.5000000;-0.3000000;0.0071148;18.6000000
1.4415000;1.4430000;2.6937495;2.8000000;-0.4000000;0.0010061;2.5000000
1.4458000;1.4503000;2.0241661;2.5000000;-1.0000000;0.0035373;9.2000000
1.4433000;1.4441000;2.7165936;2.8000000;-0.8000000;0.0013892;3.0000000
1.4487000;1.4527000;2.5591895;2.7000000;-4.5000000;0.0039603;6.8000000
1.4663000;1.4728000;2.1174429;2.5000000;-1.6000000;0.0092740;24.4000000
1.4703000;1.4737000;2.5550417;2.7000000;-1.7000000;0.0032036;7.6000000
1.4602000;1.4632000;2.5395657;2.7000000;-0.3000000;0.0027331;7.6000000
1.4666000;1.4725000;1.9416919;2.5000000;-0.5000000;0.0042999;12.1000000
1.4675000;1.4702000;2.5268319;2.7000000;-0.5000000;0.0015114;3.9000000
1.4647000;1.4686000;2.5637731;2.7000000;-3.3000000;0.0023613;3.6000000
1.4648000;1.4675000;3.0121079;3.1000000;-2.5000000;0.0011502;0.6000000
1.4813000;1.4854000;1.8072896;2.5000000;-1.5000000;0.0072405;18.7000000
1.4810000;1.4820000;2.7145234;2.8000000;-1.9000000;0.0015970;2.6000000
1.4861000;1.4872000;2.5490092;2.7000000;-1.3000000;0.0019225;4.1000000
1.4840000;1.4854000;2.7640329;2.8000000;-1.2000000;0.0011163;2.1000000
1.4876000;1.4966000;2.0463497;2.5000000;-0.1000000;0.0044103;12.7000000
1.4830000;1.4837000;3.0053566;3.1000000;-0.5000000;0.0003754;0.6000000
1.4861000;1.4886000;2.4620437;2.7000000;-1.3000000;0.0021000;4.9000000
1.4796000;1.4833000;1.8819471;2.5000000;-1.2000000;0.0042356;11.0000000
