PC;VMY.PM;SLI;SLP;P.Max;VO_N;GMax_4CP
1.3657000;1.3681000;2.4710185;2.7000000;-1.5000000;0.0031320;3
1.3650000;1.3678000;2.7112716;2.8000000;-5.5000000;0.0033385;4
1.3582000;1.3626000;2.5237305;2.7000000;-2.1000000;0.0024720;4
1.3604000;1.3627000;2.4658671;2.7000000;-3.8000000;0.0035261;3
1.3604000;1.3615000;2.8482597;2.9000000;-0.9000000;0.0008086;4
1.3481000;1.3608000;1.6106053;2.5000000;-0.6000000;0.0058891;2
1.3532000;1.3609000;1.9694309;2.5000000;-1.1000000;0.0049303;2
1.3532000;1.3609000;2.4780019;2.7000000;-3.1000000;0.0033194;3
1.3458000;1.3526000;2.4193284;2.5000000;-1.0000000;0.0035094;3
1.3431000;1.3485000;2.5092401;2.7000000;-0.4000000;0.0030026;3
1.3437000;1.3463000;2.5209757;2.7000000;-2.7000000;0.0027157;3
1.3503000;1.3553000;2.4494366;2.7000000;-0.6000000;0.0024596;3
1.3303000;1.3504000;2.0068265;2.5000000;-1.1000000;0.0096731;1
1.3409000;1.3436000;2.0434221;2.5000000;-1.9000000;0.0047500;2
1.3393000;1.3437000;2.7206357;2.8000000;-2.8000000;0.0021421;4
1.3433000;1.3468000;2.4951227;2.7000000;-0.7000000;0.0029868;3
1.3536000;1.3546000;2.5726993;2.6000000;-5.1000000;0.0054530;3
1.3622000;1.3637000;2.0065605;2.5000000;-0.7000000;0.0042236;2
1.3644000;1.3659000;2.5280965;2.7000000;-2.0000000;0.0024152;4
1.3592000;1.3613000;2.6750053;2.8000000;-0.4000000;0.0012957;4
1.3620000;1.3641000;2.5358390;2.7000000;-2.7000000;0.0026812;4
1.3627000;1.3638000;2.9663217;3.0000000;-3.5000000;0.0016819;4
1.3735000;1.3785000;1.6856511;2.5000000;-0.9000000;0.0061766;2
1.3735000;1.3785000;1.8843377;2.5000000;-1.9000000;0.0046633;2
1.3735000;1.3785000;2.5571291;2.7000000;-1.3000000;0.0020979;4
1.3760000;1.3779000;2.7156038;2.8000000;-1.3000000;0.0014174;4
1.3766000;1.3797000;2.5496213;2.7000000;-0.8000000;0.0016717;4
1.3782000;1.3788000;3.0313121;3.1000000;-0.9000000;0.0003996;4
1.3786000;1.3793000;2.8430312;2.9000000;-0.2000000;0.0005078;4
1.3782000;1.3788000;3.0332018;3.1000000;-2.5000000;0.0009883;4
1.3782000;1.3795000;2.9684795;3.0000000;-3.0000000;0.0013626;4
1.3782000;1.3792000;2.9726152;3.0000000;-2.7000000;0.0012686;4
1.3816000;1.3822000;2.7539340;2.8000000;-4.3000000;0.0026052;4
1.3790000;1.3812000;2.4557101;2.7000000;-1.2000000;0.0022026;3
1.3804000;1.3817000;2.9612628;3.0000000;-1.3000000;0.0008011;4
1.3779000;1.3830000;2.7225429;2.8000000;-2.7000000;0.0021330;4
1.3828000;1.3842000;2.6967190;2.8000000;-1.0000000;0.0015474;4
1.3809000;1.3835000;2.7193037;2.8000000;-1.5000000;0.0015016;4
1.3822000;1.3851000;2.7206158;2.8000000;-1.9000000;0.0017149;4
1.3714000;1.3815000;1.8929049;2.5000000;-1.0000000;0.0046882;2
1.3633000;1.3734000;1.9098464;2.5000000;-1.4000000;0.0048508;2
1.3721000;1.3726000;2.0026461;2.5000000;-0.3000000;0.0036551;3
1.3664000;1.3722000;2.4754292;2.7000000;-2.6000000;0.0031745;3
1.3677000;1.3709000;2.4102707;2.7000000;-0.9000000;0.0021590;3
1.3695000;1.3712000;2.4607888;2.7000000;-0.5000000;0.0018975;3
1.3810000;1.3839000;2.0118587;2.5000000;-1.2000000;0.0056166;2
1.3799000;1.3815000;2.8226516;2.9000000;-0.6000000;0.0008541;4
1.3752000;1.3804000;2.4930129;2.7000000;-0.7000000;0.0026104;3
1.3793000;1.3825000;2.5594143;2.7000000;-0.5000000;0.0029599;3
1.3659000;1.3798000;2.0347359;2.5000000;-1.5000000;0.0060682;2
1.3688000;1.3705000;2.7217192;2.8000000;-3.4000000;0.0023432;4
1.3421000;1.3700000;1.0000000;2.5000000;-1.0000000;0.0133893;1
1.3474000;1.3545000;1.9577806;2.5000000;-1.8000000;0.0050104;2
1.3493000;1.3507000;2.8367496;2.9000000;-0.8000000;0.0007604;4
1.3465000;1.3494000;2.6907625;2.8000000;-1.2000000;0.0016602;4
1.3561000;1.3587000;2.0034539;2.5000000;-1.5000000;0.0043331;2
1.3665000;1.3684000;1.9145651;2.5000000;-0.7000000;0.0046934;2
1.3640000;1.3670000;2.4005813;2.7000000;-0.3000000;0.0019130;3
1.3587000;1.3655000;1.9586841;2.5000000;-0.9000000;0.0035360;3
1.3651000;1.3680000;1.9960374;2.5000000;-1.3000000;0.0036939;3
1.3633000;1.3650000;2.4450003;2.7000000;-0.6000000;0.0021892;3
1.3636000;1.3640000;2.9530883;3.0000000;-1.1000000;0.0008181;4
1.3637000;1.3719000;2.4676891;2.7000000;-4.0000000;0.0036186;3
1.3614000;1.3654000;2.8327424;2.9000000;-3.1000000;0.0018602;4
1.3595000;1.3616000;2.4809072;2.7000000;-0.4000000;0.0024828;3
1.3646000;1.3650000;2.6455085;2.7000000;-4.7000000;0.0033548;4
1.3691000;1.3691000;3.0100381;3.1000000;-5.1000000;0.0024087;4
1.3786000;1.3815000;1.9894442;2.5000000;-1.0000000;0.0051295;2
1.3830000;1.3847000;2.4696073;2.7000000;-0.7000000;0.0026030;3
1.3890000;1.3913000;2.4660666;2.7000000;-1.0000000;0.0025318;3
1.3884000;1.3927000;2.7158581;2.8000000;-1.9000000;0.0017853;4
1.3847000;1.3896000;3.0375142;3.1000000;-5.0000000;0.0021278;4
1.3872000;1.3888000;2.7545750;2.8000000;-1.7000000;0.0013005;4
1.4058000;1.4119000;1.6366418;2.5000000;-1.0000000;0.0057147;2
1.4106000;1.4129000;2.3924677;2.7000000;-0.9000000;0.0020715;3
1.4079000;1.4108000;2.6377274;2.7000000;-0.7000000;0.0014962;4
1.4141000;1.4161000;2.5875792;2.7000000;-0.8000000;0.0031883;3
1.4265000;1.4281000;2.0727226;2.5000000;-2.3000000;0.0058811;2
1.4157000;1.4229000;1.9831637;2.5000000;-0.6000000;0.0033838;3
1.4108000;1.4162000;2.5046785;2.7000000;-1.6000000;0.0028587;3
1.4136000;1.4149000;2.5660977;2.7000000;-3.9000000;0.0031244;4
1.4148000;1.4156000;2.0517757;2.5000000;-3.0000000;0.0049656;2
1.4044000;1.4137000;2.0128983;2.5000000;-1.7000000;0.0045552;2
1.4144000;1.4170000;1.9380157;2.5000000;-1.0000000;0.0046362;2
1.4176000;1.4214000;2.5284210;2.7000000;-0.3000000;0.0024032;3
1.4212000;1.4242000;2.4602860;2.7000000;-1.4000000;0.0025832;3
1.4167000;1.4225000;2.7986358;2.8000000;-5.0000000;0.0025869;4
1.4187000;1.4229000;2.5423194;2.7000000;-1.1000000;0.0019163;4
1.4280000;1.4309000;2.0313947;2.5000000;-1.2000000;0.0041582;2
1.4272000;1.4318000;2.8544697;2.9000000;-3.9000000;0.0020391;4
1.4266000;1.4282000;2.8334058;2.9000000;-2.2000000;0.0013377;4
